fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.0,0.00786,0.02194,0.92424,0.0,2.99661,0.64597,6.90775,0.44711,1.137,0.01753,0.71019,0.35572,0.00895,0.11518,0.53106,0.01005,0.001,0.00194,0.5043,0.0049,1.0,0.0,0.0,0.00303,10
0.0,0.00806,0.01622,0.98,0.00052,2.8139,0.90955,7.34187,0.67127,1.41358,0.01199,0.70604,0.3557,0.00118,0.08923,0.518,0.0,0.00056,0.0,0.5051,0.0,0.98918,0.0,0.0,0.00342,10
0.0,0.01,0.01169,0.93633,0.00065,2.14722,0.61708,5.06164,0.47798,1.32513,0.01714,0.69834,0.26448,0.00858,0.13351,0.49801,0.00091,0.00062,0.00248,0.50227,0.00368,0.88207,0.0,0.0,0.0015,10
0.0,0.00889,0.02282,0.98,0.00053,2.72679,0.61145,6.91091,0.7622,1.29267,0.01742,0.70993,0.25717,0.00513,0.09833,0.5278,0.00115,0.00089,0.00121,0.64237,0.00253,0.95396,0.00437,0.00155,0.00217,10
0.0,0.00993,0.02024,0.95366,0.00052,2.66874,0.84995,5.79883,0.52108,1.25154,0.01675,0.69297,0.26695,0.0021,0.10854,0.50886,0.00046,0.00031,0.00042,0.63735,0.00282,0.95894,0.0,0.00031,0.00406,9
0.0,0.00952,0.01341,0.97603,0.0,2.21017,0.93697,6.63314,0.74173,1.43396,0.01509,0.59222,0.39985,0.00898,0.10091,0.62876,0.01021,0.0005,0.00167,0.44333,0.00195,0.84908,0.01761,0.00017,0.00041,10
0.0,0.01,0.01442,0.9513,0.00041,2.16961,0.91001,6.00079,0.49163,1.33219,0.01108,0.57696,0.40668,0.00192,0.11664,0.39189,0.00281,0.00058,0.0015,0.57057,0.00142,0.95199,0.01982,0.00129,0.0031,9
0.0,0.00761,0.01232,0.98,0.0,3.77153,0.59196,7.3301,0.46802,1.17464,0.01075,0.50023,0.33106,0.00894,0.10122,0.66019,0.00993,0.0002,0.00228,0.79481,0.00367,0.70561,0.00866,0.00119,0.00188,10
0.0,0.00934,0.01614,0.95072,0.00057,3.02971,0.90952,7.71434,0.78108,1.21789,0.01066,0.57253,0.39857,0.0,0.11223,0.57876,0.00335,0.0,0.0,0.85538,0.0042,0.71335,0.00041,0.00132,0.00077,10
0.0,0.00951,0.02405,0.93632,0.0003,1.96181,0.87269,5.28224,0.67258,1.23757,0.01791,0.74937,0.40876,0.00238,0.08717,0.57123,0.00027,0.00053,0.00112,1.0,0.00538,0.84943,0.01685,0.0,0.0,8
0.0,0.00897,0.01,0.95545,0.00018,3.23725,0.95,5.52614,0.57383,1.51348,0.01693,0.58467,0.30355,0.00598,0.06777,0.52762,0.00688,0.001,0.00295,0.4415,0.0026,0.719,0.01193,0.00053,0.00042,7
0.0,0.00868,0.01,0.94219,0.00038,2.18328,0.45169,5.04361,0.46819,1.24406,0.0098,0.62662,0.27786,0.00734,0.09034,0.66177,0.01132,0.00042,0.00253,0.68413,0.00334,0.70074,0.00169,0.00064,0.00206,10
0.0,0.00801,0.02135,0.85495,0.0001,2.72821,0.76417,7.43585,0.59788,1.3786,0.01391,0.54851,0.2975,0.0,0.11952,0.43687,0.00213,0.0,0.00124,0.42177,0.0,1.0,0.01736,0.00019,0.00194,5
0.0,0.01,0.01765,0.98,0.0,3.12301,0.58462,6.97758,0.58525,1.37204,0.01399,0.74175,0.27716,0.00661,0.11186,0.50004,0.00648,0.00044,0.0003,0.7053,0.00067,0.5709,0.01893,0.00026,0.00164,10
